"url","img_src","year_make_model","price"
"https://www.ebay.com/itm/358045498532?itmmeta=01KD7AGEHD5NDSVP0X57X1A95F&hash=item535d2cbca4:g:smQAAeSwuWVpHlI0&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02tWVZJ%2FM2ReqqmTiH4iZsUCQrhOREh%2FLV2GBVadE09Gbk3NbaKqDntLPdmSrB%2FuFdc4mJBZZlOs9ejl5NDXS5M6jWoDfeiLXNomjY6UgpQZdMVw9q3eCIEvHfaIeD3i1I%2B82mYavC8%2FFKtCOkVnkFxhoH0URJMXaeThj4O74kmMk%2Fk%2FJr8k7O5L%2Fk%2BZcRt1XBVFGTi0Jtf3abwV8OkrlgSwAE4oJXvhi5Zj0O4TbYdr3w%3D%3D%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/smQAAeSwuWVpHlI0/s-l1600.webp","1965 AMC Rambler Marlin","$16,900.00"
"https://www.ebay.com/itm/257250113853?itmmeta=01KD7AGEHD8GGTP5J3C1JP4HDS&hash=item3be54d393d:g:NRMAAeSw~DRpNvns&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02uzHPMMiWytA6U8ClVSCb53DyIu5WmGCyqF2Oa3kktdOkEkOlgZs0CQ0v8SUWoYD6C0aYCDb2qne6Ed%2B1ZaWaoT7jV32DD43f389NFcAQNXC1IByQtw19E2vBThL3fM9fftcLRqVsra9mND2PLFUk7LUz8vn8wR3ZLC56QZiy3seavV0ZEpzIt0y2mrUwvsOXVdJQAcFNit0Oil%2FYrgUlQVHdUeieFePWosNLHWMwD5G8hsZmZFhYDAj2wbuRLf8s4iBq6dNEpmQHLKD%2FREwBwP%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/NRMAAeSw~DRpNvns/s-l1600.webp","1968 AMC AMX Javelin 343 V8 4 Speed Original","$27,500.00"
"https://www.ebay.com/itm/257270183131?itmmeta=01KD7AGEHD98SSZ6YAVCFAC0ZH&hash=item3be67f74db:g:AwsAAeSwRyxpSBbX&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02tj9pa00PthN%2BmhDTTCCN5JlXVa9T9%2BjMLbSybtTx8A0y%2BdASyMMijNZYKTiEb1w7Qhe0glfZIEIMCY5qgjIrNm3HE%2BqIU67PsM3q4XR4YCRgI6lVmtGVcPcJPd9xgenp7zoE2Bvq70W%2BedCXdhXgc4HCsxmTH1hZtqhMMi6ydfJXBkb%2FXw065M2K8xge%2FK%2FnNnfdA1gB%2FSkibwAZqQTkEExlZcOHRjqWY9tvFPB3KCfA%3D%3D%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/AwsAAeSwRyxpSBbX/s-l1600.webp","1969 AMC Javelin fastback","$9,500.00"
"https://www.ebay.com/itm/205940041550?itmmeta=01KD7AGEHDW6X544QQZ5F7CBP0&hash=item2ff2fba74e:g:M9gAAeSw46lpSVJn&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02tuX0lpbKbM%2F2KSD%2FQo0%2FLlh%2FWaspkR3IRboPXQgm6Hr%2FkLnFOf9yn2OblWvfFj%2FpoWKKnh9A3MKjWDFq0rik7uRorLqk5E2BFtXi1zNkXgLProBulye3%2FwOyZ8r0bqordvwRcECR6wxSxZNasG4%2Bs7nC01G4q6CvlnPKisYsRQNbgHEm0Cr7tFuRgyzVblc--zG1GjDejEZHaEmirGQr7OJlrVtQxWSJgkm4cQ0Gn0t2eOaioI1U0NbKRFOGYYiP5Depsp8udnGl9n3ig3tgWx%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/M9gAAeSw46lpSVJn/s-l1600.webp","1961 AMC Rambler Wagon","$1,000.00"
"https://www.ebay.com/itm/306664743528?itmmeta=01KD7AGEHDP9F6EP8FE0DXMP0K&hash=item4766a4a268:g:zBIAAeSwIl9pLiC9&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02vI73txRe0doV0O0gqCxhHS3F5Z4wVC8vlzKTZdY4vtBz4d%2Fw2gIahKdcTgzXwc6xMbSF594ZvU0hyO6rxW3L4xm66WhHjVjbtTWnNQNVhBhGq0QdxPZrS3aZ%2Fyrb7veG4A1PSOI4i%2BAedwY1rFyZlT%2Fz0Cy%2B28UwVHISWEOkaqH04t8ofLIJ6W3QWFCu1e%2Ba3GGylemcVA1jCXjziXmVITEEm8iyqmMsDhGQlnfMsTdA%3D%3D%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/zBIAAeSwIl9pLiC9/s-l1600.webp","1976 AMC Pacer chrome","$4,000.00"
"https://www.ebay.com/itm/236541471536?itmmeta=01KD7AGEHDGT3QM7B3WMPN37RH&hash=item3712f86b30:g:As8AAeSwTXVpIOFs&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02vr34PgefshDClXC5krGRL2%2BO1krt0tCK0oLYNu8QJFI9mFf6w2fygwpGQm0GuqakzomjLmp36n9ZeHQ51fS0l%2Bi72Z%2FMVq7lvDQMfdgoRlhLsJg8wg0AJF8t7HPwUVscHBdDSfN5YuIS3WYqVTF6dfZ1M00hygX6tNYNwW8BoNKapJcHwB7nwL6FfSgAWPaKF6mMHfNxz8EcA2cz3HNrkDjQx0V%2BYVubMavnL4mBiU0UO6KfYWvnVxqftrY3QQyRP%2Fv0u%2FCz4sPuSOLyy4vI1p%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/As8AAeSwTXVpIOFs/s-l1600.webp","1969 AMC Javelin V8 Automatic PS PB Buckets 35,137 Actual Miles","$15,000.00"
"https://www.ebay.com/itm/157513491330?itmmeta=01KD7AGEHDZHYTYWPN7RGE3G9M&hash=item24ac892382:g:q0gAAeSwWuBpLJDy&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02u1xoAS2AfivrRuC856N772pskb5PW441mA75IoWo09swW9%2BtHg76E7pwPnXIwqXe6Io0q7be98oLwZTA1yxyFtusUeFbgl%2FsrCJ2rVTUrk0tbZWfnQ1v5eQkZ7yoAq0pdGz1B7A2tRPUi5EYr2s6W2Ct1XWAGXYtPdiVjr6abeaW8VZU8bfKkHnuKsOOxmYJrxLYHT9aZBe2OwTF6fmHWMLB92kfZUNeejJsoIMM51NA%3D%3D%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/q0gAAeSwWuBpLJDy/s-l1600.webp","1969 AMC AMX - Go Pack 390 4spd - 50 Year Ownership","$39,900.00"
"https://www.ebay.com/itm/357980731120?itmmeta=01KD7AGEHD3Q9S6JNBEQP8JRPY&hash=item53595076f0:g:TCgAAeSwjOZpMPTi&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02uQmvQc9SB3fH9jijT8Kk7aKChhNRYBxQ3ihI6kWe9IdMWU8EU0YJ9oSb%2BgXsZ3qVkehCrkcN1YTyYR7vaoNysw6ovHhBHOb5sBuGlJu7Cpo0FbA3NuyAu9GCdKRSEHqFUQyzgT5c4a3BMpDvRe2kGPp6YJLfILiKExVjfRDiXJrNwy23J7OYzrL%2F7bHzy9uDIk9joY%2FOvDbjaj4cyFAKoiikdt8am--QroFZ6bn3guBA%3D%3D%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/TCgAAeSwjOZpMPTi/s-l1600.webp","1975 AMC Pacer","$19,600.00"
"https://www.ebay.com/itm/147050060375?itmmeta=01KD7AGEHD1NDPYYP242W1BSEB&hash=item223cddda57:g:gtgAAeSwgAhodQVx&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02u%2FI2bBc4bbEO9vPyz4yC1pgYkaOPsHfuz%2Fs%2BwMHGr9avivZZEgMP880hUPL0j9VVFFGv%2FjN4kqDIDBySJPLwSN8F2J6482iJj1ZPnQPMtsJizxIXT75RMACoUvr%2Bm2%2BGfjn%2BhpFQUnwxQKx3%2BXy8d299eFzJIb35FcF2sBTge%2F1aUPWeWynHs9fZSqrHjQrIRY9KdIGRzJGcTTm5zJ5d%2FwiZCQ7Y%2B0b1hBUjwv6mjm9Q%3D%3D%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/gtgAAeSwgAhodQVx/s-l1600.webp","1968 AMC AMX","$41,900.00"
"https://www.ebay.com/itm/227134548894?itmmeta=01KD7AGEHDG674TBHWADHC8QF6&hash=item34e2462b9e:g:Mq4AAeSwIehpACZM&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02s8t%2BzFRdCjCS%2Bh8K7TuJ7VzQqazPqGTg2rv6VhVpDXRy8NBGFD1Og4ghEurCBh%2FTqdaa%2BRxdWOP4Li3QXw7%2FANSEHgXp6Szgxtq0P75VG5iQUHLk%2FfBN%2FhM0i6GfW8tY3DIh6%2FSjGx7PfFD4j3ix55O%2B%2BDEKfoqMTcUjMgWujAhPt6qNeRXgxNuHBKCZsCYIToucnEGebBw88SURnTUympKcf3fgKm1YxkACONOl3mxnxP0LoyLhIDw%2BgQvrpBT94qSwaweXbx6pTSgNpN09SV%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/Mq4AAeSwIehpACZM/s-l1600.webp","1962 AMC Rambler Convertible","$1,495.00"
