"url","title","location","car-price-frame","details 2","details 3","details 4"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SUPRA/700101006930190713001/","TOYOTA SUPRA
                                                    3.0GT TURBO","Hiroshima Japan","¥17,395,000","BLACK M","2,447
                                                                                                                km","3000cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GRMN_YARIS/700012870030241025001/","TOYOTA GRMN YARIS
                                                    CIRCUIT PACKAGE","Kanagawa Japan","¥16,075,000","BLACK","42
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_COROLLA/700902003230240428001/","TOYOTA GR COROLLA
                                                    RZ MORIZO EDITION","Yamaguchi Japan","¥12,225,000","GRAY","35
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700020428630250912001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE KALLE ROVANPERA EDITION","Shizuoka Japan","¥11,125,000","SPECIAL COLOR","785
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700056033630250423001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE SEBASTIEN OGIER EDITION","Saitama Japan","¥11,070,000","GRAY","56
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GRMN_YARIS/700017054930250619001/","TOYOTA GRMN YARIS
                                                    CIRCUIT PACKAGE","Nagasaki Japan","¥10,905,000","DARK GRAY","2,400
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SUPRA/700101006930220408002/","TOYOTA SUPRA
                                                    2.5GT TWIN TURBO R","Hiroshima Japan","¥10,795,000","GREEN","3,794
                                                                                                                km","3000cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SUPRA/700057081330250204001/","TOYOTA SUPRA
                                                    RZ","Saitama Japan","¥10,685,000","BLUE","-    
                                                                                                                km","3000cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700957244730251111002/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE KALLE ROVANPERA EDITION","Tokyo Japan","¥10,127,300","WHITE III","700
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SUPRA/700100180330210805001/","TOYOTA SUPRA
                                                    2.5GT TWIN TURBO R","Hiroshima Japan","¥9,420,000","GREEN","4,932
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SUPRA/700050271330251104004/","TOYOTA SUPRA
                                                    RZ","Saitama Japan","¥9,063,600","GRAY M","34,811
                                                                                                                km","3000cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SUPRA/945025121000204401001/","TOYOTA SUPRA
                                                    RZ","Aichi Japan","¥8,793,000","WHITE","8,000
                                                                                                                km","3000cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700017055430250126001/","TOYOTA GR YARIS","Shiga Japan","¥8,595,000","BLACK","8,000
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SUPRA/700050519730251111004/","TOYOTA SUPRA
                                                    RZ","Chiba Japan","¥7,887,700","WHITE","8,361
                                                                                                                km","3000cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GRMN_YARIS/700060008130251023002/","TOYOTA GRMN YARIS
                                                    CIRCUIT PACKAGE","Shizuoka Japan","¥7,803,000","PEARL WHITE","11,420
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700050888830251104002/","TOYOTA GR YARIS","Chiba Japan","¥7,726,000","PEARL WHITE","1,000
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700030374430250816001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Hokaido Japan","¥7,015,000","PEARL WHITE","992
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_COROLLA/700070747530251024001/","TOYOTA GR COROLLA
                                                    RZ","Hyogo Japan","¥6,890,000","PEARL WHITE","150
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/CHASER/700020825030240528001/","TOYOTA CHASER
                                                    TOURER V","Aichi Japan","¥6,747,000","BLUE M","68,900
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/CHASER/700020825030230508001/","TOYOTA CHASER
                                                    TOURER V","Aichi Japan","¥6,747,000","PEARL WHITE","107,300
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700020428630250912001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE KALLE ROVANPERA EDITION","Shizuoka Japan","¥11,125,000","SPECIAL COLOR","785
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700056033630250423001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE SEBASTIEN OGIER EDITION","Saitama Japan","¥11,070,000","GRAY","56
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GRMN_YARIS/700017054930250619001/","TOYOTA GRMN YARIS
                                                    CIRCUIT PACKAGE","Nagasaki Japan","¥10,905,000","DARK GRAY","2,400
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SUPRA/700101006930220408002/","TOYOTA SUPRA
                                                    2.5GT TWIN TURBO R","Hiroshima Japan","¥10,795,000","GREEN","3,794
                                                                                                                km","3000cc"
