"portfolio-item-image href","portfolio-item-image src","portfolio-item-headline"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-m4-competition-g82-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/09/hamann-bmw-m4-competition-g82-showroom-preview.jpg","BMW M4 Competition G82 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-z4-roadster-g29-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/09/hamann-bmw-z4-roadster-g29-showroom-preview-.jpg","BMW Z4 Roadster G29 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-x5-m-competition-f95-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/06/hamann-bmw-x5-m-f95_vorschau-1920x883.jpg","BMW X5 M Competition F95 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-m4-g82-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-02-bmw-m4-g82-1920x883.jpg","BMW M4 G82 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-x6-m-f96-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-01-bmw-x6-m-f96-1920x883.jpg","BMW X6 M F96 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-x5-g05-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-01-bmw-x5-g05-1920x883.jpg","BMW X5 G05 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-x6-g06-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-01-bmw-x6-g06-1920x883.jpg","BMW X6 G06 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-8er-g14-g15-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-02-bmw-8er-g14-g15-1920x883.jpg","BMW 8 Series G 14/G 15 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-x4-g02-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-01-bmw-x4-g02-1920x883.jpg","BMW X4 G02 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-3er-g21-touring-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-01-bmw-3er-g21-1920x883.jpg","BMW 3 Series Touring | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-m5-f90-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-01a-bmw-m5-f90-1920x883.jpg","BMW M5 F90 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-5-series-g31-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-01a-bmw-5er-g31-1920x883.jpg","BMW 5 Series G31 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-x6m-f86-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-01-bmw-x6-m-f86-1920x883.jpg","BMW X6 M F86 | HAMANN Tuning"
"https://hamann-motorsport.com/en/produkte/bmw/bmw-x6-m-f86-widebody-hamann-tuning/","https://hamann-motorsport.com/wp-content/uploads/2022/04/hamann-slider-01-bmw-x6-m-f86-widebody-1920x883.jpg","BMW X6 M F86 | HAMANN Tuning"
