"img_src","build_nickname","year_make_model","build_owner"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/01e75525-14d2-4533-8f35-54b4ac68a20e/372a111f-5ec5-4451-8b11-e9c4bafe3ca5-full.webp","Lake Myriad","2005 Land Rover LR3","Jake"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/20bb6424-219b-418f-b633-0b370b89d636/d52c6fe8-fcc3-460c-951c-631294b89ef8-full.webp","The Dude-A-Lude","1998 Honda Prelude","Reppin-The-Block-Media"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/29ec112f-2416-4c96-89ab-ef5e14b07cba/d9f85a6a-6bf9-4e04-a2ce-81a1925a3239-full-1761009046417.webp","My-Fair-Lady","1974 Datsun 260z","Ishmael Werkz"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/0e41a90f-2a8a-4e54-89ff-d463930886d4/915e454e-1434-4c55-87b2-9bd872b2c7dd-full-1761009057035.webp","Hammond","1984 Porsche 911 carrera","Ishmael Werkz"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/ab725963-b7b8-4d93-9106-281f276c6c90/d66b3439-b25a-4371-8c8a-ddf9da526a48-full.webp","2014 Scion FR-S","2014 Scion FR-S","Brandon"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/01e75525-14d2-4533-8f35-54b4ac68a20e/0dba87eb-f375-41ba-a684-f0d347a98794-full.webp","Green Machine","1971 Honda CB450","Jake"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/30895440-93b6-4fb8-a21b-4081bce3ef68/1760328192076-0-full-1761009065842.webp","Lafawnduh","2008 Honda Civic SI","Cody"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/164cd03c-3928-4234-9dd8-257a0326bf4d/6dd652c7-6d67-4460-addf-03c244e675fa-full.webp","1996 Honda  Civic Ej8","1996 Honda  Civic Ej8","Nate"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/f64c2f08-804d-4168-a1d7-73f80d2aaf14/76d94f68-fbcd-4102-bea8-add3141da325-full-1761009639261.webp","Brooklands  NSX","1995 Acura NSX-T","Jake"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/1d037969-f31b-445e-ab45-41931745f3d6/e8bfd314-0537-4f71-8ab7-180faa7e8afd-full.webp","HOMISC3","1992 Lexus  Sc300","Dallas Manthie"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/7a7e7b06-5b65-47ed-a827-c4d02a919f28/d1067aa2-d2dd-44f0-861f-61787cd6db5a-full.webp","Feather","1972 Indian Me-125","Ishmael Werkz"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/01e75525-14d2-4533-8f35-54b4ac68a20e/0955164b-feb4-499c-9e74-ae9ef702783a-full.webp","1985 Honda Interceptor","1985 Honda Interceptor","Jake"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/320a3bd1-5645-4ddf-bf60-0b4e2b5f0978/20a18bac-1f92-412c-a439-f6c878112b28-full-1761009114154.webp","Z06","2001 Chevrolet  Corvette Z06","Jared"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/26189c09-fb62-49bc-bf4d-20ec119c4952/44712174-1ed0-4699-84a3-f5ffbd8dd5e0-full-1761009296663.webp","E46","2002 BMW E46","Reppin-The-Block-Media"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/68cd62eb-2e2f-4108-a7f9-d9c241a2e070/3ddada6a-62a7-4f21-ac12-82e1bdbc82b2-full.webp","Rex2","1991 Honda CRX","GRIDLIFE"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/b76050df-1c2d-4894-9a85-8d5fcb8fc74c/270f9cf0-a6d8-44b1-94f7-9192dbf00b54-full.webp","OnyxLS3","2001 BMW 330ci","Josh"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/e6fd4a6b-5d11-4acd-8ca0-b79f8823b5fe/8134fc7a-855a-4907-be24-a9208f05551b-full.webp","Blue","1992 Nissan 240sx","Wyatte_240LS"
"https://cctbtkwwwcoblmrwqkrd.supabase.co/storage/v1/object/public/car-images/49b36493-b501-48ff-9163-9448602bc94d/a057b713-be00-41e0-8394-ae2fcf7ec8be-full.webp","Baby Honda","1983 Honda Civic","Jaylin"
